Official Code 2001 Edition,Act Number,Section of Act,Law Number,Type of Change,Act Type,Expiration Date,Bill Title,DCR Cite
47-1343,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1343,20-424,7102(c)(9),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1343,20-378,101(c)(9),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1343,20-377,7112(c)(9),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1345,20-424,7102(c)(10),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1345,20-377,7112(c)(10),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1345,20-378,101(c)(10),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1345,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1345,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1345,20-409,101(c)(10),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1345,20-449,7102(c)(10),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1345,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1346,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1346,20-424,7102(c)(11),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1346,20-555,2(r)(9),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1346,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1346,20-449,7102(c)(11),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1346,20-409,101(c)(11),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1346,20-378,101(c)(11),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1346,20-377,7112(c)(11),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1346,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1347.01,20-409,101(c)(12),NA,"Note, Repeal",E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1348,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1348,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1348,20-409,101(c)(13),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1348,20-424,7102(c)(12),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1348,20-449,7102(c)(12),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1348,20-377,7112(c)(12),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1348,20-555,2(r)(10),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1348,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1348,20-378,101(c)(12),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1349,20-424,7102(c)(13),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1349,20-377,7112(c)(13),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1349,20-378,101(c)(13),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1349,20-409,101(c)(14),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1349,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1349,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1349,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1349,20-449,7102(c)(13),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1352,20-449,7102(c)(14),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1352,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1352,20-409,101(c)(15),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1352,20-377,7112(c)(14),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1352,20-378,101(c)(14),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1352,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1352,20-424,7102(c)(14),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1352,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1353,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1353,20-424,7102(c)(15),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1353,20-378,101(c)(15),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1353,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1353,20-555,2(r)(11),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1353,20-377,7112(c)(15),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1353,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1353,20-449,7102(c)(15),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1353,20-409,101(c)(16),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1353.01,20-377,7112(c)(16),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1353.01,20-424,7104,PEND,Repeal,P,,FY 2015 Budget Support Act,61-09990
47-1353.01,20-424,7102(c)(16),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1353.01,20-409,101(c)(17),NA,"Note, New Sec",E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1353.01,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1353.01,20-555,2(r)(12),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1353.01,20-378,101(c)(16)(A),20-141,New Section,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1353.01,20-449,7104,NA,"Note, Repeal",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1353.01,20-449,7102(c)(16),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1354,20-449,7102(c)(17),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1354,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1354,20-555,2(r)(13),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1354,20-409,101(c)(18),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1354,20-378,101(c)(17),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1354,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1354,20-377,7112(c)(17),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1354,20-424,7102(c)(17),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1354,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1355,20-449,7102(c)(18),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1355,20-377,7112(c)(18),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1355,20-409,101(c)(19),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1355,20-424,7102(c)(18),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1355,20-378,101(c)(18),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1355,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1355,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1355,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1361,20-555,2(r)(14),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1361,20-377,7112(c)(19),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1361,20-378,101(c)(19),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1361,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1361,20-409,101(c)(20),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1361,20-449,7102(c)(19),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1361,20-424,7102(c)(19),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1361,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1361,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1362,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1362,20-424,7102(c)(20),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1362,20-409,101(c)(21),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1362,20-449,7102(c)(20),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1362,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1362,20-378,101(c)(20),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1362,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1362,20-377,7112(c)(20),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1363,20-449,7102(c)(21),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1363,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1363,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1363,20-409,101(c)(22),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1363,20-378,101(c)(21),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1363,20-424,7102(c)(21),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1363,20-377,7112(c)(21),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1363,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1366,20-449,7102(c)(22),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1366,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1366,20-378,101(c)(22),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1366,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1366,20-424,7102(c)(22),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1366,20-377,7112(c)(22),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1366,20-409,101(c)(23),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1366,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1370,20-377,7112(c)(23),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1370,20-424,7102(c)(23),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1370,20-409,101(c)(24),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1370,20-378,101(c)(23),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1370,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1370,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1370,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1370,20-449,7102(c)(23),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1371,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1371,20-378,101(c)(24),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1371,20-424,7102(c)(24),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1371,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1371,20-449,7102(c)(24),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1371,20-377,7112(c)(24),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1371,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1371,20-409,101(c)(25),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1372,20-377,7112(c)(25),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1372,20-424,7102(c)(25),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1372,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1372,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1372,20-449,7102(c)(25),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1372,20-378,101(c)(25),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1372,20-409,101(c)(26),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1372,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1374,20-378,101(c)(26),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1374,20-449,7102(c)(26),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1374,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1374,20-424,7102(c)(26),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1374,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1374,20-409,101(c)(27),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1374,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1374,20-377,7112(c)(26),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1377,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1377,20-378,101(c)(27),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1377,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1377,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1377,20-377,7112(c)(27),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1377,20-424,7102(c)(27),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1377,20-409,101(c)(28),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1377,20-449,7102(c)(27),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1377,20-555,2(r)(15),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1380,20-424,7102(c)(28),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1380,20-378,101(c)(28),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1380,20-409,101(c)(29),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1380,20-449,7102(c)(28),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1380,20-377,7112(c)(28),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1380,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1380,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1380,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1382,20-377,7112(c)(29),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1382,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1382,20-378,101(c)(29),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1382,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1382,20-449,7102(c)(29),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1382,20-424,7102(c)(29),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1382,20-409,101(c)(30),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1382,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1382.01,20-424,7104,PEND,Repeal,P,,FY 2015 Budget Support Act,61-09990
47-1382.01,20-449,7102(c)(30),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1382.01,20-409,101(c)(31),NA,"Note, New Sec",E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1382.01,20-449,7104,NA,"Note, Repeal",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1382.01,20-378,101(c)(30),20-141,New Section,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1382.01,20-377,7112(c)(30),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1382.01,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1382.01,20-424,7102(c)(30),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1384,20-461,2(q),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1384,20-378,101(c)(31),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1384,20-424,7102(c)(31),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1384,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1384,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1384,20-449,7102(c)(31),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1384,20-377,7112(c)(31),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1384,20-409,101(c)(32),NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
47-1390,20-555,2(r)(6),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1390,20-378,101(c)(32)(A),20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
47-1390,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1390,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1801.04,20-377,7022(c)(1),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1801.04,20-424,7012(c)(1),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1801.04,20-449,7012(c)(1),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1801.04,20-461,2(l)(2)(A),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1801.04,20-555,2(l),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1803.02,20-424,7012(c)(2),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1803.02,20-377,7022(c)(2),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1803.02,20-449,7012(c)(2),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1803.02,20-555,2(m),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1803.02,20-461,2(l)(2)(B),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1803.03,20-424,7012(c)(3),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1803.03,20-377,7022(c)(3),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1803.03,20-449,7012(c)(3),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1806.02,20-424,7012(c)(4),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1806.02,20-555,2(n),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1806.02,20-449,7012(c)(4),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1806.02,20-461,2(l)(2)(C),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1806.02,20-377,7022(c)(4),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1806.03,20-424,7012(c)(5),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1806.03,20-377,7022(c)(5),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1806.03,20-449,7012(c)(5),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1806.04,20-377,7022(c)(6),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1806.04,20-424,7012(c)(6),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1806.04,20-449,7012(c)(6),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1806.04,20-555,2(o),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1806.04,20-461,2(l)(2)(D),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1806.06,20-449,7052(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1806.06,20-424,7052(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1806.06,20-377,7062(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1806.06,20-555,2(r)(4),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
47-1806.06,20-461,2(m),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
47-1806.12,20-424,7072(b),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
47-1806.12,20-377,7082(b),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1806.12,20-449,7072(b),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1806.13,20-377,7082(b),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1806.13,20-424,7072(b),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
47-1806.13,20-449,7072(b),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1807.02,20-377,7022(c)(7),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1807.02,20-424,7012(c)(7),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
47-1807.02,20-449,7012(c)(7),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1807.10,20-377,7082(c),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1807.10,20-424,7072(c),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
47-1807.10,20-449,7072(c),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1807.11,20-377,7082(c),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1807.11,20-424,7072(c),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
47-1807.11,20-449,7072(c),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
47-1808.01,20-377,7022(c)(8),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
47-1808.01,20-424,7012(c)(8),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
